"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"DEFA6",2217,14,3.58557459779055e-05,3.05849988358039e-07,1733,-6.46913195942039,0,0
"DEFA5",6900,62,0.000111594337955592,1.35447851987131e-06,4016,-6.26291025341166,0,0
"FABP6",528,11,8.53939281747142e-06,2.40310705138459e-07,470,-4.66600548241992,0,0
"REG3A",1217,36,1.96826535205733e-05,7.86471398634957e-07,1084,-4.48001805852732,0,0
"PRSS2",363,13,5.8708325620116e-06,2.84003560618179e-07,337,-3.95874051897915,0,0
"FABP2",174,5,2.81411808757581e-06,1.092321386993e-07,174,-3.79988296419934,0,0
"PCK1",102,4,1.64965543064789e-06,8.73857109594396e-08,106,-3.22298798205985,0,0
"PHGR1",1284,98,2.07662507152146e-05,2.14094991850627e-06,1192,-3.21898908529796,0,0
"ALDOB",138,7,2.23188675911185e-06,1.52924994179019e-07,138,-3.20471621317428,0,0
"FABP1",276,19,4.46377351822369e-06,4.15082127057338e-07,282,-3.14735281256939,0,0
"FCER1A",1590,134,2.57152170071582e-05,2.92742131714123e-06,406,-3.09206035590292,0,0
"PRAP1",403,31,6.51775626030489e-06,6.77239259935657e-07,406,-3.08991147514808,0,0
"DMBT1",212,15,3.42869560095443e-06,3.27696416097899e-07,215,-3.04447595973698,0,0
"SPINK4",2191,193,3.54352455740149e-05,4.21636055379296e-06,1854,-3.0413633833622,0,0
"IL2",1369,121,2.21409635740878e-05,2.64341775652305e-06,984,-3.01917306138891,0,0
"REG1B",380,32,6.14577513378625e-06,6.99085687675517e-07,375,-2.96645850919224,0,0
"PLA2G2A",301,28,4.868100829657e-06,6.11699976716077e-07,317,-2.80335336006562,0,0
"TFF3",2207,234,3.56940150533322e-05,5.11206409112722e-06,1837,-2.77979165199342,0,0
"APOA1",147,12,2.37744459122784e-06,2.62157132878319e-07,152,-2.77416509613274,0,0
"KRT20",133,11,2.15102129682519e-06,2.40310705138459e-07,139,-2.72565526621644,0,0
"CLCA1",329,34,5.3209474184623e-06,7.42778543155237e-07,347,-2.68531952406136,0,0
"OLFM4",931,105,1.50571490777763e-05,2.29387491268529e-06,899,-2.6625787470601,0,0
"FCGBP",224,23,3.62277271044242e-06,5.02467838016778e-07,243,-2.627421404749,0,0
"CD207",279,30,4.51229279559569e-06,6.55392832195797e-07,149,-2.6101851009969,0,0
"XIST",20971,2563,0.000339165921922714,5.59923942972609e-05,11115,-2.59653945293185,0,0
"ARL14",145,14,2.34509840631317e-06,3.05849988358039e-07,154,-2.59087405232946,0,0
"CCR9",370,42,5.98404420921292e-06,9.17549965074116e-07,386,-2.57993099899024,0,0
"KRT19",570,68,9.21866270067937e-06,1.48555708631047e-06,597,-2.55513311087885,0,0
"FXYD3",241,28,3.89771528221707e-06,6.11699976716077e-07,259,-2.48983463293856,0,0
"VSIG4",801,102,1.29546470583231e-05,2.22833562946571e-06,415,-2.48719251112249,0,0
"SMIM22",179,20,2.89498354986247e-06,4.36928554797198e-07,193,-2.47974604185125,0,0
"AGR3",155,17,2.5068293308865e-06,3.71389271577618e-07,169,-2.46730530317088,0,0
"CLDN4",451,57,7.29406469825683e-06,1.24524638117201e-06,487,-2.45849724137453,0,0
"CDH17",139,15,2.24805985156918e-06,3.27696416097899e-07,126,-2.45681015967348,0,0
"HOXA5",343,43,5.54737071286495e-06,9.39396392813976e-07,249,-2.44183338059091,0,0
"PIGR",1034,139,1.67229776008815e-05,3.03665345584053e-06,1053,-2.42313502846756,0,0
"TNFSF9",293,37,4.73871608999834e-06,8.08317826374816e-07,311,-2.41335519262269,0,0
"SPINK1",344,45,5.56354380532229e-06,9.83089248293696e-07,357,-2.38655293374411,0,0
