Ligand,RECEPTOR_1,RECEPTOR_2,RECEPTOR_3,RECEPTOR_4,TF_1,TF_2,,,
XCL1,XCR1,,,,,,,,
CCL4L2,CCR5,,,,,,,,
IL23A,IL23R,IL12RB1,,,,,,,
IL10,IL10RA,IL10RB,,,,,,,
ANXA1,FPR2,,,,,,,,
IL17F,IL17RA,IL17RC,,,,,,,
IL32,F2RL1,,,,,,,,
CCL23,CCR1,,,,,,,,
CXCL8,CXCR1,CXCR2,ACKR1,,,,,,
GAS6,AXL,MERTK,TYRO3,,NFKB1,STAT5,STAT6,ATF1,CREB
OSM,OSMR,IL6ST,LIFR,,STAT3,,,,
CCL8,CCR1,CCR2,CCR3,CCR5,,,,,
CXCL16,CXCR6,,,,,,,,
CCL14,CCR1,CCR3,CCR5,ACKR1,,,,,
CCL3,CCR1,CCR4,CCR5,,,,,,
CCL3L3,ACKR2,CCR5,,,,,,,
IL24,IL20RB,IL20RA,IL22RA1,,STAT3,STAT1,,,
CCL11,CCR3,ACKR1,,,,,,,
IL1A,IL1R1,IL1RAP,,,NKB1,AP-1,,,
IL1B,IL1R1,IL1RAP,,,NKB2,AP-2,,,
CCL19,CCR7,,,,,,,,
CCL22,CCR4,,,,,,,,
CXCL9,CXCR3,,,,,,,,
IL12B,IL12RB1,IL12RB2,IL23R,,STAT4,STAT3,,,
CXCL10,CXCR3,,,,,,,,
CXCL11,CXCR3,,,,,,,,
IL15,IL15RA,IL2RB,IL2RG,,STAT5,STAT3,,,
CCL1,CCR8,,,,,,,,
IL7,IL7R,IL2RG,,,STAT5,,,,
CXCL12,CXCR4,ACKR3,,,,,,,
IL34,CSF1R,,,,,,,,
CSF1,CSF1R,,,,FOS,JUNB,MYC,,
APP,NOTCH1,,,,,,,,
CSF2,CSF2RA,CSF2RB,,,,,,,
HEBP1,FPRL2,,,,,,,,
UTS2,UTS2R,,,,,,,,
TGFB3,TGFBR2,,,,SMAD3,,,,
ADM,CALCRL,RAMP2,RAMP3,,,,,,
CCL2,CCR2,CCR4,ACKR1,,,,,,
ARF1,CHRM3,COPB1,GGA3,PLD2,,,,,
PSAP,,,,,,,,,
IL11,IL11RA,IL6ST,,,STAT3,,,,
CXCL2,CXCR2,,,,,,,,
CXCL3,CXCR2,,,,,,,,
CCL17,CCR4,CCR8,,,,,,,
CCL21,CCR7,,,,,,,,
IFNB1,IFNAR1,IFNAR2,,,,,,,
CXCL13,CXCR5,,,,,,,,
IL12A,IL12RB1,IL12RB2,,,,,,,
CCL7,CCR2,ACKR1,,,,,,,
PNOC,,,,,,,,,
MYDGF,,,,,,,,,
CALM3,,,,,,,,,
EBI3,IL27RA,IL6ST,IL12RB2,,STAT1,STAT4,,,
CCL18,CCR8,GPER1,PITPNM3,,,,,,
IL33,IL1RL1,IL1RAP,,,NFKB,,,,
CXCL1,CXCR2,,,,,,,,
IL6,IL6R,IL6ST,,,STAT3,,,,
CXCL5,CXCR2,ACKR1,,,,,,,
CXCL6,CXCR1,CXCR2,ACKR1,,,,,,
IL17A,IL17RA,IL17RC,,,,,,,
PROK2,PROKR2,,,,,,,,
IL22,IL22RA1,IL10RB,,,,,,,
VEGFB,FLT1,,,,,,,,
TNFSF8,TNFRSF8,,,,,,,,
IL2,IL2RA,IL2RB,IL2RG,,,,,,
TNFSF13B, TNFRSF13B,TNFRSF17,TNFRSF13C,,,,,,
AREG,EGFR,,,,,,,,
XCL2,XCR1,,,,,,,,
IL18,IL18R1,IL18RAP,,,,,,,
HBEGF,EGFR,,,,,,,,
CCL13,CCR2,CCR3,CCR5,ACKR1,,,,,
IL26,IL20RA,IL10RB,,,,,,,
CCL25,CCR9,,,,,,,,
TNF,TNFRSF1A,TNFRSF1B,,,,,,,
TNFSF10,TNFRSF10A,TNFRSF10B,,,,,,,
CXCL14,,,,,,,,,
CX3CL1,CX3CR1,,,,,,,,
TNFSF12,TNFRSF12A,,,,,,,,
IAPP,RAMP1,RAMP2,RAMP3,,,,,,
LTB,LTBR,,,,,,,,
IFNG,IFNGR1,IFNGR2,,,,,,,
ALOX5AP,,,,,,,,,
IL16,CD4,,,,,,,,
LTA,LTBR,,,,,,,,
TGFB1,TGFBR2,TGFBR1,,,,,,,
CCL28,CCR3,CCR10,,,,,,,
BTLA,TNFRSF4,,,,,,,,
CCL5,CCR3,CCR10,CCR5,GPR75,ACKR1,,,,
CCL4L2,CCR5,,,,,,,,
CCL20,CCR6,,,,,,,,
