sample_ID,Estimated Number of Cells,Mean Reads per Cell,Median Genes per Cell,Number of Reads,Valid Barcodes,Reads Mapped Confidently to Transcriptome,Reads Mapped Confidently to Exonic Regions,Reads Mapped Confidently to Intronic Regions,Reads Mapped Confidently to Intergenic Regions,Sequencing Saturation,Q30 Bases in Barcode,Q30 Bases in RNA Read,Q30 Bases in Sample Index,Q30 Bases in UMI,Fraction Reads in Cells,Total Genes Detected,Median UMI Counts per Cell
67,2037,2892,368,5891791,0.89,0.7,0.73,0.12,0.03,0.46,0.62,0.83,0.65,0.79,0.82,13523,761
68,7701,9607,443,73985955,0.93,0.44,0.45,0.07,0.32,0.47,0.71,0.84,0.88,0.79,0.77,18523,1285
69,1982,39886,819,79055651,0.93,0.53,0.55,0.07,0.21,0.77,0.7,0.83,0.86,0.79,0.75,18344,2305
126,2128,35479,910,75499583,0.98,0.6,0.62,0.15,0.04,0.87,0.97,0.82,0.94,0.96,0.94,17715,2336
122,1121,80821,892,90600578,0.98,0.5,0.52,0.13,0.07,0.87,0.97,0.83,0.93,0.96,0.83,18188,3097
123,2236,37650,842,84186308,0.98,0.56,0.58,0.12,0.04,0.75,0.97,0.82,0.93,0.96,0.8,18143,3049
127,1209,89495,1128,108199469,0.98,0.52,0.54,0.17,0.04,0.91,0.97,0.8,0.94,0.97,0.97,17378,3389
128,1590,47769,1081,75954276,0.98,0.38,0.4,0.15,0.18,0.62,0.97,0.78,0.92,0.97,0.76,19497,3556
129,2213,34006,724,75255915,0.98,0.46,0.48,0.2,0.09,0.81,0.97,0.8,0.94,0.97,0.82,18935,1903
138,2824,29589,654,83560319,0.98,0.33,0.35,0.15,0.09,0.6,0.96,0.77,0.91,0.95,0.76,19593,2050
134,1374,71510,808,98255779,0.98,0.37,0.4,0.14,0.03,0.87,0.96,0.79,0.9,0.95,0.84,16867,2507
135,2607,33124,653,86355552,0.98,0.34,0.36,0.13,0.04,0.58,0.96,0.77,0.9,0.95,0.7,19632,2214
157,3040,50728,991,154213620,0.98,0.54,0.56,0.19,0.03,0.86,0.97,0.83,0.93,0.97,0.93,19330,3112
158,2061,68072,1089,140297316,0.98,0.52,0.55,0.17,0.04,0.7,0.97,0.83,0.94,0.97,0.7,20683,5397
159,2043,62726,993,128151254,0.98,0.47,0.49,0.19,0.04,0.67,0.97,0.84,0.94,0.97,0.58,20481,3717
179,4253,20501,992,87191245,0.98,0.45,0.47,0.19,0.03,0.59,0.95,0.53,0.85,0.95,0.93,19435,3144
181,3143,23467,859,73759886,0.98,0.44,0.46,0.2,0.03,0.28,0.95,0.54,0.85,0.95,0.58,20247,2980
180,1638,50142,1276,82133545,0.98,0.46,0.48,0.17,0.03,0.5,0.95,0.53,0.86,0.95,0.77,20603,6479
185,5845,12650,822,73941277,0.98,0.45,0.48,0.23,0.04,0.54,0.96,0.55,0.86,0.95,0.92,19782,2065
187,1097,71470,619,78403560,0.98,0.45,0.47,0.15,0.03,0.86,0.95,0.53,0.86,0.95,0.67,18213,2029
186,756,103110,971,77951391,0.98,0.42,0.44,0.22,0.04,0.63,0.96,0.55,0.86,0.95,0.41,19053,4329
191,12472,11850,874,147797719,0.98,0.56,0.59,0.19,0.03,0.47,0.96,0.79,0.91,0.95,0.91,21153,2900
193,3404,46238,860,157394363,0.98,0.49,0.51,0.23,0.03,0.61,0.96,0.78,0.91,0.95,0.59,21139,3330
192,2218,67941,1068,150695271,0.98,0.48,0.51,0.25,0.04,0.65,0.96,0.79,0.91,0.95,0.52,21267,3824
194,4983,19948,1071,99402158,0.98,0.55,0.57,0.22,0.03,0.64,0.95,0.83,0.92,0.94,0.91,19743,3176
196,1979,49808,1119,98570202,0.98,0.53,0.55,0.18,0.04,0.59,0.95,0.81,0.92,0.94,0.77,20828,4942
195,2668,26626,849,71039393,0.98,0.54,0.56,0.18,0.06,0.45,0.95,0.81,0.91,0.94,0.75,20286,3605
209,2337,46677,1026,109085977,0.98,0.53,0.55,0.24,0.03,0.67,0.98,0.86,0.96,0.97,0.75,20828,3283
208,1976,58857,1032,116301901,0.98,0.54,0.56,0.24,0.03,0.77,0.98,0.87,0.95,0.97,0.76,20526,3301
